symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
CHZ,momentum,24,268,119,0.44402985074626866,False,0.970964007170937,0.3857505490688337,0.5038910657539161
CHZ,momentum,48,268,116,0.43283582089552236,False,0.9881833782413227,0.3748774828957975,0.49269245489150215
CHZ,momentum,72,267,123,0.4606741573033708,False,0.9109645596556505,0.40186563684299814,0.5205982682587292
CHZ,momentum,168,263,128,0.4866920152091255,False,0.6890580010071189,0.426911727564888,0.5468554811461974
CHZ,mean_reversion,24,206,113,0.5485436893203883,False,0.09271935507048223,0.4803167816218965,0.6149932045772175
CHZ,mean_reversion,48,206,118,0.5728155339805825,True,0.021533499238936233,0.5045385115058835,0.6384264677927874
CHZ,mean_reversion,72,205,108,0.526829268292683,False,0.24250015734110367,0.4586179269739873,0.5940535714247993
CHZ,mean_reversion,168,203,104,0.5123152709359606,False,0.38949404070870475,0.44396604708469745,0.5802070399538867
CHZ,ghost_inverse,24,134,71,0.5298507462686567,False,0.27276718323993715,0.445692493208826,0.6123451383915037
CHZ,ghost_inverse,48,134,72,0.5373134328358209,False,0.2184952745429863,0.4530287219201312,0.6195183175802808
CHZ,ghost_inverse,72,133,63,0.47368421052631576,False,0.7559888280845672,0.39076033835480756,0.558085626614909
CHZ,ghost_inverse,168,131,56,0.42748091603053434,False,0.9599150296447112,0.34601929472299015,0.513074634746847
CHZ,rsi,24,93,48,0.5161290322580645,False,0.4179230673157429,0.4159537133977669,0.6150247090983505
CHZ,rsi,48,93,49,0.5268817204301075,False,0.33926600682666247,0.42636839646712893,0.6252623076930667
CHZ,rsi,72,93,48,0.5161290322580645,False,0.4179230673157429,0.4159537133977669,0.6150247090983505
CHZ,rsi,168,92,49,0.532608695652174,False,0.3012061388480754,0.43140275849037324,0.6312005369470985
BTC,momentum,24,174,90,0.5172413793103449,False,0.35238401155975785,0.44342489256318707,0.5903129955349858
BTC,momentum,48,174,91,0.5229885057471264,False,0.29788822870367876,0.44908114798770926,0.5959027028098545
BTC,momentum,72,173,85,0.4913294797687861,False,0.6194285145491665,0.4178343801711027,0.5652012856450854
BTC,momentum,168,171,86,0.5029239766081871,False,0.5000000000000003,0.4287463843461108,0.5769730782989346
BTC,mean_reversion,24,84,42,0.5,False,0.5433988188877015,0.39543750035009767,0.6045624996499024
BTC,mean_reversion,48,84,41,0.4880952380952381,False,0.6281779069473978,0.3840817181332218,0.5931500262794481
BTC,mean_reversion,72,83,41,0.4939759036144578,False,0.5867976377754036,0.38908687956649984,0.5993979019207136
BTC,mean_reversion,168,82,39,0.47560975609756095,False,0.7094427729116766,0.37104798284402096,0.5823545632408609
BTC,ghost_inverse,24,83,42,0.5060240963855421,False,0.49999999999999983,0.4006020980792863,0.6109131204335001
BTC,ghost_inverse,48,83,40,0.4819277108433735,False,0.6695581761193923,0.3776300414382687,0.5878243030233717
BTC,ghost_inverse,72,82,41,0.5,False,0.5439216962236986,0.3942264272844117,0.6057735727155883
BTC,ghost_inverse,168,81,41,0.5061728395061729,False,0.49999999999999994,0.3995059708753621,0.6122806998144883
BTC,rsi,24,93,40,0.43010752688172044,False,0.9269114856764237,0.33423358533237524,0.5315265838511162
BTC,rsi,48,92,39,0.42391304347826086,False,0.9413149205843279,0.3279782090086152,0.5259474349706172
BTC,rsi,72,92,38,0.41304347826086957,False,0.9621198821179674,0.31788936478397756,0.5151685140494309
BTC,rsi,168,91,41,0.45054945054945056,False,0.8527651077157331,0.3523959894000537,0.5527089434564145
SOL,momentum,24,274,134,0.48905109489051096,False,0.6637718061675926,0.4304231374562342,0.5479818242197712
SOL,momentum,48,274,136,0.49635036496350365,False,0.5718880429684995,0.4376091253236368,0.5551925285683651
SOL,momentum,72,273,130,0.47619047619047616,False,0.8015705057262124,0.41768742296177364,0.5353543164299941
SOL,momentum,168,270,137,0.5074074074074074,False,0.4275875593845873,0.4480888147585228,0.5665181697171741
SOL,mean_reversion,24,196,104,0.5306122448979592,False,0.2160556171271352,0.4608274044804224,0.599220153185249
SOL,mean_reversion,48,196,104,0.5306122448979592,False,0.2160556171271352,0.4608274044804224,0.599220153185249
SOL,mean_reversion,72,195,108,0.5538461538461539,False,0.07594721973521483,0.4837041788288348,0.6219075241548468
SOL,mean_reversion,168,192,96,0.5,False,0.5287537151733879,0.42997169712955335,0.5700283028704467
SOL,ghost_inverse,24,137,68,0.49635036496350365,False,0.5677975124950257,0.41387476724711403,0.5790250578045754
SOL,ghost_inverse,48,137,68,0.49635036496350365,False,0.5677975124950257,0.41387476724711403,0.5790250578045754
SOL,ghost_inverse,72,136,69,0.5073529411764706,False,0.4658538075754982,0.4242876511786049,0.5900142446807102
SOL,ghost_inverse,168,134,67,0.5,False,0.5343991271832025,0.4165289411016035,0.5834710588983965
SOL,rsi,24,92,42,0.45652173913043476,False,0.825929354840397,0.35852497382933834,0.5580039655873659
SOL,rsi,48,92,43,0.4673913043478261,False,0.7671462771134688,0.36879946305290146,0.5685972415096268
SOL,rsi,72,92,43,0.4673913043478261,False,0.7671462771134688,0.36879946305290146,0.5685972415096268
SOL,rsi,168,90,40,0.4444444444444444,False,0.8769467751418608,0.34615486330171846,0.5472825887451348
AVAX,momentum,24,270,144,0.5333333333333333,False,0.15042600252106733,0.47377452821457033,0.5919569019260656
AVAX,momentum,48,269,136,0.5055762081784386,False,0.45148723190297574,0.4461718203461865,0.5648235703860184
AVAX,momentum,72,268,132,0.4925373134328358,False,0.6199452465534692,0.4332107638284379,0.5520747848145955
AVAX,momentum,168,264,141,0.5340909090909091,False,0.14770956988031878,0.47385857013918475,0.593345329479097
AVAX,mean_reversion,24,198,99,0.5,False,0.5283158185976161,0.4310203898414545,0.5689796101585455
AVAX,mean_reversion,48,197,101,0.5126903553299492,False,0.38786935835343983,0.44331834741068527,0.5815768934159163
AVAX,mean_reversion,72,196,103,0.5255102040816326,False,0.26021109794085107,0.4557844434379863,0.594255187950073
AVAX,mean_reversion,168,194,91,0.4690721649484536,False,0.8246651634129231,0.40013008984426324,0.5392153258822575
AVAX,ghost_inverse,24,140,60,0.42857142857142855,False,0.9622245856236717,0.3495830563292003,0.5113751087635129
AVAX,ghost_inverse,48,139,67,0.48201438848920863,False,0.694513155021988,0.40055259120997616,0.5644436003756682
AVAX,ghost_inverse,72,138,66,0.4782608695652174,False,0.7242933601667269,0.3966396690369733,0.5610596236952012
AVAX,ghost_inverse,168,135,55,0.4074074074074074,False,0.9875620867716784,0.3281978223373858,0.4917408703887136
AVAX,rsi,24,91,39,0.42857142857142855,False,0.9291033127276265,0.3318249800682115,0.5311043673911313
AVAX,rsi,48,90,42,0.4666666666666667,False,0.7696037636405139,0.3670825183252626,0.5689799529028493
AVAX,rsi,72,90,42,0.4666666666666667,False,0.7696037636405139,0.3670825183252626,0.5689799529028493
AVAX,rsi,168,89,42,0.47191011235955055,False,0.7374926063537863,0.3715184758755657,0.5746263557516359
