symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
NET,mean_reversion,72,144,74,0.5138888888888888,False,0.40134667753486414,0.4329596384827971,0.5940963457597975
NET,mean_reversion,168,143,69,0.4825174825174825,False,0.6919986071540933,0.4021503867827656,0.5637993168434547
NET,ghost_inverse,24,74,46,0.6216216216216216,True,0.02369648775202588,0.507712489269153,0.7235263341877133
NET,ghost_inverse,48,74,41,0.5540540540540541,False,0.2079925987536523,0.4409291962707845,0.6618436141544893
NET,ghost_inverse,72,73,42,0.5753424657534246,False,0.120822361570376,0.46099174047029373,0.6821598857321799
NET,ghost_inverse,168,72,45,0.625,True,0.022185460004012846,0.5095268590406966,0.7278099060064543
NET,rsi,24,71,40,0.5633802816901409,False,0.17123549920993397,0.44771335602917073,0.6725406203689822
NET,rsi,48,70,31,0.44285714285714284,False,0.8590105391031719,0.3324934170610057,0.5591665686381124
NET,rsi,72,69,34,0.4927536231884058,False,0.5950254735405376,0.3783222449110342,0.6079493361635164
NET,rsi,168,68,31,0.45588235294117646,False,0.8019375798514852,0.3430469069536447,0.5734360221570655
FTNT,momentum,24,163,79,0.48466257668711654,False,0.6807392256134233,0.4091799416218508,0.5608515133629971
FTNT,momentum,48,162,79,0.4876543209876543,False,0.6527163162835142,0.41186389539073653,0.5640167039281317
FTNT,momentum,72,161,74,0.45962732919254656,False,0.8650894239538296,0.3844820789110116,0.5366543332567907
FTNT,momentum,168,159,78,0.49056603773584906,False,0.6244046040233129,0.4140050950646095,0.5675720940565981
FTNT,mean_reversion,24,104,54,0.5192307692307693,False,0.3843959050693361,0.4242432827339784,0.612848155078517
FTNT,mean_reversion,48,103,55,0.5339805825242718,False,0.2773005333324366,0.43815971045284596,0.6273578407631598
FTNT,mean_reversion,72,103,55,0.5339805825242718,False,0.2773005333324366,0.43815971045284596,0.6273578407631598
FTNT,mean_reversion,168,102,52,0.5098039215686274,False,0.46059552462693587,0.4142085151226479,0.6046876466889649
FTNT,ghost_inverse,24,72,42,0.5833333333333334,False,0.09725258293369955,0.4680748922563983,0.6901496177750356
FTNT,ghost_inverse,48,72,42,0.5833333333333334,False,0.09725258293369955,0.4680748922563983,0.6901496177750356
FTNT,ghost_inverse,72,71,43,0.6056338028169014,True,0.04796181570541188,0.489355558883608,0.7110677351133136
FTNT,ghost_inverse,168,69,43,0.6231884057971014,True,0.026644681908256824,0.5052166912305035,0.7281664305021328
FTNT,rsi,24,56,27,0.48214285714285715,False,0.6555601196383303,0.35668005624426746,0.609898377487451
FTNT,rsi,48,55,26,0.4727272727272727,False,0.7049733341116823,0.34692885310480803,0.6020868092837061
FTNT,rsi,72,54,28,0.5185185185185185,False,0.4459615755523744,0.3885147504846543,0.6460624396345678
FTNT,rsi,168,54,27,0.5,False,0.5540384244476255,0.37114361988923295,0.628856380110767
SNOW,momentum,24,168,77,0.4583333333333333,False,0.8764590141006712,0.3847602882551795,0.5337693343740326
SNOW,momentum,48,167,85,0.5089820359281437,False,0.43853340538879937,0.433814682303871,0.5837454435671113
SNOW,momentum,72,167,86,0.5149700598802395,False,0.37851308359198016,0.4396890875605082,0.5895777888911289
SNOW,momentum,168,165,77,0.4666666666666667,False,0.8248828173084632,0.3921690859511836,0.5426810931515966
SNOW,mean_reversion,24,132,67,0.5075757575757576,False,0.4653422327627885,0.42328760705491464,0.5914354232980846
SNOW,mean_reversion,48,131,63,0.48091603053435117,False,0.6998526911448661,0.3971249733448441,0.5657944817787972
SNOW,mean_reversion,72,131,61,0.46564885496183206,False,0.8088228393219323,0.3824267321981887,0.5508282870243657
