symbol,strategy,holding_hours,total_trades,wins,losses,flats_skipped,win_rate,avg_win_pct,avg_loss_pct,is_significant,p_value,ci_lower,ci_upper
ETH,mean_reversion,24,166,76,90,191,0.4578313253012048,0.025824693085704776,0.02996936247440756,False,0.8778750364396639,0.3838493557715593,0.5337208979236483
ETH,mean_reversion,48,165,76,89,191,0.46060606060606063,0.035922324399803876,0.04357720603400951,False,0.8621429713850884,0.38631151790521195,0.5366932392162558
ETH,mean_reversion,72,164,76,88,191,0.4634146341463415,0.047878762359958194,0.05503053506912254,False,0.8449807185982797,0.38880582103905165,0.5396981970351327
ETH,mean_reversion,168,162,83,79,189,0.5123456790123457,0.062001874212725516,0.08349941362144224,False,0.40687670608895216,0.4359832960718685,0.5881361046092636
ETH,mean_reversion_aggressive,24,243,112,131,114,0.4609053497942387,0.024001563042277813,0.029734706249477015,False,0.9003035865363096,0.39932585534228904,0.523701705652292
ETH,mean_reversion_aggressive,48,242,110,132,114,0.45454545454545453,0.03677548393341851,0.04144096528751385,False,0.9304431129020185,0.3930078566733296,0.5175036271438926
ETH,mean_reversion_aggressive,72,241,119,122,114,0.49377593360995853,0.045263212215974936,0.05346408653041033,False,0.6016340574170125,0.4312482138154988,0.556498966402242
ETH,mean_reversion_aggressive,168,239,121,118,112,0.5062761506276151,0.06887173006812883,0.07634785198682402,False,0.4485503941706408,0.4432942126816776,0.5690595191336292
ETH,ghost_inverse,24,107,46,61,250,0.42990654205607476,0.02431248036273399,0.03192778515849741,False,0.9392437890618779,0.34013913708365806,0.5245326107077849
ETH,ghost_inverse,48,106,47,59,250,0.44339622641509435,0.03242133095215831,0.03934720258009994,False,0.8967508963201452,0.3524492353273998,0.5383025381354777
ETH,ghost_inverse,72,105,51,54,250,0.4857142857142857,0.04072808523048351,0.0540797407549965,False,0.6517661685041618,0.39232024499960055,0.5801167643791664
ETH,ghost_inverse,168,104,51,53,247,0.49038461538461536,0.06726545352632853,0.06897038204569725,False,0.6156040949306639,0.39637419660186013,0.5850800844918921
ETH,ghost_inverse_strong,24,80,40,40,277,0.5,0.024225932684852403,0.02279917835416597,False,0.5444639393869537,0.392972274311075,0.607027725688925
ETH,ghost_inverse_strong,48,79,45,34,277,0.569620253164557,0.03330970359098008,0.033835138679716346,False,0.13021276294862175,0.4597200056030372,0.6730635234451705
ETH,ghost_inverse_strong,72,78,48,30,277,0.6153846153846154,0.04005018034172985,0.049376953101224794,True,0.026772196084251132,0.5044258131764942,0.7155112359525552
ETH,ghost_inverse_strong,168,78,38,40,273,0.48717948717948717,0.06680071743721128,0.06144899419229325,False,0.6328289834850767,0.37948764475056745,0.5960749053462049
ETH,rsi,24,95,48,47,262,0.5052631578947369,0.021983820905931064,0.03492983690557255,False,0.5000000000000001,0.4064912522418622,0.6036259453753354
ETH,rsi,48,94,42,52,262,0.44680851063829785,0.03317217755074489,0.05069491146276627,False,0.8717788255335154,0.35036203477936345,0.5474319506010882
ETH,rsi,72,94,36,58,261,0.3829787234042553,0.047001834873780304,0.06035964411486257,False,0.9913952022070348,0.2911404875065257,0.48400628033046794
ETH,rsi,168,92,42,50,259,0.45652173913043476,0.0717531864425715,0.09253225490202803,False,0.825929354840397,0.35852497382933834,0.5580039655873659
ETH,rsi_extreme,24,32,16,16,325,0.5,0.02095064156828374,0.037769607130171065,False,0.5699749670457095,0.33630614316859386,0.6636938568314061
ETH,rsi_extreme,48,31,18,13,325,0.5806451612903226,0.029373729038764815,0.06408742832604486,False,0.23656482994556427,0.40765964352020967,0.7358469692645074
ETH,rsi_extreme,72,31,15,16,324,0.4838709677419355,0.042475681236043845,0.07501112387006524,False,0.639949934091419,0.3196998603127883,0.6515988171302683
ETH,rsi_extreme,168,30,13,17,321,0.43333333333333335,0.06373383136371415,0.0842055553179104,False,0.8192026959732175,0.2737723743061511,0.6080299045459127
ETH,bollinger,24,45,27,18,312,0.6,0.019867972554417062,0.033639252313906,False,0.11634659595415542,0.4545159420914473,0.7297532055204246
ETH,bollinger,48,45,20,25,311,0.4444444444444444,0.03340546133573197,0.041362161358579216,False,0.8143509827644948,0.30938708549039107,0.5882411658363468
